subject,identifier,type,creator,title,volume,edition,publisher,year,format,ISBN,ISSN,ISMN,EAN/UPC,binding/price,language,country,date of publication,description,collective title,links,relation,rights,subject headings,connected titles,uniform title,frequency,wv number
670 Industrielle und handwerkliche Fertigung,"URN:urn:nbn:de:bvb:91-diss-20250129-1748793-0-4, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20250129-1748793-0-4, URL:http://d-nb.info/1362197742/34, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20250129-1748793-0-4, IDN:1362197742",Online-Ressource,"Holtmann, Jonas [Verfasser] ; Große, Christian [Akademischer Betreuer] ; Mayr, Peter [Gutachter] ; Große, Christian [Gutachter]","Anomaly Detection in Process Monitoring Data of Additive Manufacturing by Neural Networks : Quantifying Artificial Intelligence in Non-Destructive Testing / Jonas Holtmann ; Gutachter: Peter Mayr, Christian Große ; Betreuer: Christian Große",,,München : Universitätsbibliothek der TU München,2025,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"25,O05"
004 Informatik,"URN:urn:nbn:de:bsz:14-qucosa2-953223, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-953223, URL:http://d-nb.info/1355979684/34, , IDN:1355979684",Online-Ressource,"Kumar, Nishant [Verfasser] ; Gumhold, Stefan [Gutachter] ; Gumhold, Stefan [Akademischer Betreuer] ; Rother, Carsten [Gutachter]","Applications of Invertible Neural Networks: From Outlier Detection to Solving Inverse Problems / Nishant Kumar ; Gutachter: Stefan Gumhold, Carsten Rother ; Betreuer: Stefan Gumhold",,,Dresden : Technische Universität Dresden,2025,Online-Ressource,,,,,,eng,XA-DE-SN,,,,,,lizenzfrei,,,,,"25,O03"
004 Informatik,"URN:urn:nbn:de:0070-pub-30007359, URL:http://nbn-resolving.de/urn:nbn:de:0070-pub-30007359, URL:http://d-nb.info/1356909736/34, URL:https://pub.uni-bielefeld.de/record/3000735, IDN:1356909736",Online-Ressource,"Friedrichs, Marcel [Verfasser]",Automated Graph-Based Data Integration and Information Fusion: An Open-Source Ecosystem of Tools With a Focus on Maintainability and Usability / Marcel Friedrichs,,,Bielefeld : Universitätsbibliothek Bielefeld,2025,Online-Ressource,,,,,,eng,XA-DE-NW,,,,,,lizenzfrei,,,,,"25,O03"
004 Informatik,"URN:urn:nbn:de:bsz:25-freidok-2626448, URL:http://nbn-resolving.de/urn:nbn:de:bsz:25-freidok-2626448, URL:http://d-nb.info/1356526896/34, URL:https://freidok.uni-freiburg.de/data/262644, IDN:1356526896",Online-Ressource,"Leendertse, Jan [Redner] ; Erxleben-Eggenhofer, Anika [Redner] ; Matic-Chalkitis, Milanka Redner] ; [Rensing, Stefan A. [Redner]",Data Stewardship at the University of Freiburg,,,Freiburg : Universität,2025,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Forschungsdatenmanagement ; Datenorganisation,,,,"25,O03"
500 Naturwissenschaften,"URN:urn:nbn:de:bsz:14-qucosa2-951662, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-951662, URL:http://d-nb.info/135401961X/34, , IDN:135401961X",Online-Ressource,"Jonsson, Joel [Verfasser] ; Sbalzarini, Ivo Fabian [Akademischer Betreuer] ; Sbalzarini, Ivo Fabian [Gutachter] ; Volpe, Giovanni [Gutachter]","Efficient content-adaptive processing of large-scale fluorescence microscopy data / Joel Jonsson ; Gutachter: Ivo F. Sbalzarini, Giovanni Volpe ; Betreuer: Ivo F. Sbalzarini",,,Dresden : Technische Universität Dresden,2025,Online-Ressource,,,,,,eng,XA-DE-SN,,,,,,lizenzfrei,,,,,"25,O02"
004 Informatik,"URN:urn:nbn:de:bsz:14-qucosa2-945383, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-945383, URL:http://d-nb.info/1353394093/34, , IDN:1353394093",Online-Ressource,"Pietrzyk, Johannes [Verfasser] ; Lehner, Wolfgang [Gutachter] ; Rabl, Tilmann [Gutachter]","Exploiting Data-Level-Parallelism for Modern In-Memory OLAP Query Engines / Johannes Pietrzyk ; Gutachter: Wolfgang Lehner, Tilmann Rabl",,,Dresden : Technische Universität Dresden,2025,Online-Ressource,,,,,,eng,XA-DE-SN,,,,,,lizenzfrei,,,,,"25,O02"
004 Informatik,"URN:urn:nbn:de:bsz:21-dspace-1619638, URL:http://nbn-resolving.de/urn:nbn:de:bsz:21-dspace-1619638, URL:http://d-nb.info/1356632432/34, URL:https://publikationen.uni-tuebingen.de/xmlui/handle/10900/161963/, URL:http://hdl.handle.net/10900/161963, URL:http://dx.doi.org/10.15496/publikation-103295, URL:http://nbn-resolving.org/urn:nbn:de:bsz:21-dspace-1619638, IDN:1356632432",Online-Ressource,"Peter, Solveig [Verfasser] ; Luxburg, Ulrike von [Akademischer Betreuer]",Graphs in Unsupervised Machine Learning / Solveig Peter ; Betreuer: Ulrike von Luxburg,,,Tübingen : Universitätsbibliothek Tübingen,2025,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Graph ; Maschinelles Lernen,,,,"25,O03"
"370 Erziehung, Schul- und Bildungswesen","URN:urn:nbn:de:kobv:eb1-opus-9744, URL:http://nbn-resolving.de/urn:nbn:de:kobv:eb1-opus-9744, URL:http://d-nb.info/136143869X/34, URL:https://opus4.kobv.de/opus4-hnee/frontdoor/index/index/docId/974, IDN:136143869X",Online-Ressource,Hochschule für nachhaltige Entwicklung Eberswalde,Leitlinie zum Umgang mit Forschungsdaten an der HNEE (02/2025) / Hochschule für nachhaltige Entwicklung Eberswalde,,,16225 Eberswalde : Hochschule für nachhaltige Entwicklung Eberswalde,2025,Online-Ressource,,,,,,ger,XA-DE-BB,,,,,,lizenzfrei,,,,,"25,O04"
004 Informatik,"URN:urn:nbn:de:101:1-2503140452151.738706944221, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2503140452151.738706944221, URL:http://d-nb.info/1359816070/34, , IDN:1359816070",Online-Ressource,"Schlieper, Philipp [Verfasser] ; Eskofier, Björn M. [Akademischer Betreuer] ; Campello, Ricardo J. [Gutachter]",Machine Learning for Industry 4.0: Methods and Applications of Time Series Reconstruction and Outlier Detection / Philipp Schlieper ; Gutachter: Ricardo J. Campello ; Betreuer: Björn M. Eskofier,,,Erlangen : Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),2025,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"25,O04"
"610 Medizin, Gesundheit","URN:urn:nbn:de:bsz:21-dspace-1624312, URL:http://nbn-resolving.de/urn:nbn:de:bsz:21-dspace-1624312, URL:http://d-nb.info/1358477361/34, URL:https://publikationen.uni-tuebingen.de/xmlui/handle/10900/162431/, URL:http://hdl.handle.net/10900/162431, URL:http://dx.doi.org/10.15496/publikation-103763, URL:http://nbn-resolving.org/urn:nbn:de:bsz:21-dspace-1624312, IDN:1358477361",Online-Ressource,"Lause, Jan [Verfasser] ; Berens, Philipp [Akademischer Betreuer]",Models and methods to process single-cell RNA sequencing data for neuroscience / Jan Lause ; Betreuer: Philipp Berens,,,Tübingen : Universitätsbibliothek Tübingen,2025,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Transkriptom ; Zellen ; Neurowissenschaften ; Vorverarbeitung ; Datenverarbeitung ; Visualisierung ; Dimensionsreduktion ; Normalisierung ; Verallgemeinertes lineares Modell ; Biologie ; Data Science ; Einzelzellanalyse,,,,"25,O04"
004 Informatik,"URN:urn:nbn:de:0070-pub-30020276, URL:http://nbn-resolving.de/urn:nbn:de:0070-pub-30020276, URL:http://d-nb.info/1362720100/34, URL:https://pub.uni-bielefeld.de/record/3002027, IDN:1362720100",Online-Ressource,"Elahi, Mohammad Fazleh [Verfasser]",Multilingual Question Answering over Knowledge Graphs building on a Model of the Lexicon-ontology Interface / Mohammad Fazleh Elahi,,,Bielefeld : Universitätsbibliothek Bielefeld,2025,Online-Ressource,,,,,,eng,XA-DE-NW,,,,,,lizenzfrei,,,,,"25,O05"
660 Technische Chemie,"URN:urn:nbn:de:101:1-2503260034382.051315967380, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2503260034382.051315967380, URL:http://d-nb.info/1361333588/34, URL:https://publications.rwth-aachen.de/record/1005785, IDN:1361333588",Online-Ressource,"Schulze, Christoph Franz Robert [Verfasser] ; Bobzin, Kirsten [Akademischer Betreuer] ; Dahlmann, Rainer [Akademischer Betreuer]","OES-Datenerfassung in reaktiven HPPMS-Prozessen und Datenanalyse mittels künstlicher neuronaler Netze / Christoph Franz Robert Schulze ; Kirsten Bobzin, Rainer Dahlmann",,,Aachen : Universitätsbibliothek der RWTH Aachen,2025,Online-Ressource,,,,,,ger,XA-DE-NW,,,"Düren : Shaker Verlag, 2025 (Schriftenreihe Oberflächentechnik; 83)",,,lizenzfrei,,,,,"25,O04"
590 Tiere (Zoologie),"URN:urn:nbn:de:bvb:20-opus-399618, URL:http://nbn-resolving.de/urn:nbn:de:bvb:20-opus-399618, URL:http://d-nb.info/1356529623/34, URL:https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/39961, IDN:1356529623",Online-Ressource,"Standfuß, Ines Antje [Verfasser] ; Dech, Stefan [Gutachter] ; Wikelski, Martin [Gutachter] ; Baumhauer, Roland [Gutachter]","Remote Sensing for Species-Environment Studies Obtaining Meaningful and Robust Environmental Variables for White Stork Habitats / Ines Antje Standfuß ; Gutachter: Stefan Dech, Martin Wikelski, Roland Baumhauer",,,Würzburg : Universität Würzburg,2025,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,"Fernerkundung , Ökologie , Maschinelles Lernen , Data Science",,,,"25,O03"
004 Informatik,"URN:urn:nbn:de:101:1-2503190117389.982370759212, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2503190117389.982370759212, URL:http://d-nb.info/1360385053/34, , IDN:1360385053",Online-Ressource,"Pezone, Francesco [Verfasser] ; Caire, Giuseppe [Akademischer Betreuer] ; Barbarossa, Sergio [Gutachter] ; Caire, Giuseppe [Gutachter] ; Kountouris, Marios [Gutachter] ; Bennis, Mehdi [Gutachter]","Semantic communication based on generative AI: a new approach to image compression and edge optimization / Francesco Pezone ; Gutachter: Sergio Barbarossa, Giuseppe Caire, Marios Kountouris, Mehdi Bennis ; Betreuer: Giuseppe Caire",,,Berlin : Technische Universität Berlin,2025,Online-Ressource,,,,,,eng,XA-DE-BE,,,,,,lizenzfrei,,,,,"25,O04"
510 Mathematik,"URN:urn:nbn:de:tuda-tuprints-295578, URL:http://nbn-resolving.de/urn:nbn:de:tuda-tuprints-295578, URL:http://d-nb.info/1360543406/34, URL:http://tuprints.ulb.tu-darmstadt.de/29557/, IDN:1360543406",Online-Ressource,"Schneider, Thomas Heinrich [Verfasser] ; Schweitzer, Pascal [Akademischer Betreuer] ; Eickmayer, Kord [Akademischer Betreuer]","Structure theory and algorithms for highly regular colored graphs / Thomas Heinrich Schneider ; Pascal Schweitzer, Kord Eickmayer",,,Darmstadt : Universitäts- und Landesbibliothek,2025,Online-Ressource,,,,,,eng,XA-DE-HE,,,,,,lizenzfrei,,,,,"25,O04"
004 Informatik,"URN:urn:nbn:de:bsz:14-qucosa2-895091, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-895091, URL:http://d-nb.info/1324536381/34, , IDN:1324536381",Online-Ressource,"Demuth, Birgit [Verfasser] ; Rohde, Frank [Verfasser] ; Aßmann, Uwe [Verfasser]","50 Jahre universitärer Informatik-Studiengang an der TU Dresden aus der Sicht von Zeitzeugen in einem Zeitstrahl / Birgit Demuth, Frank Rohde, Uwe Aßmann",,,Dresden : Technische Universität Dresden,2024,Online-Ressource,,,,,,ger,XA-DE-SN,,,,,,lizenzfrei,,,,,"24,O04"
004 Informatik,"URN:urn:nbn:de:gbv:18-ediss-125421, URL:http://nbn-resolving.de/urn:nbn:de:gbv:18-ediss-125421, URL:http://d-nb.info/1356373453/34, URL:https://ediss.sub.uni-hamburg.de/handle/ediss/11463, IDN:1356373453",Online-Ressource,"Kisters, Philipp Verfasser] ; [Lamersdorf, Winfried [Akademischer Betreuer]",A Distributed Service Platform for Managing Streaming Data in Smart Cities / Philipp Kisters ; Betreuer: Winfried Lamersdorf,,,Hamburg : Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,2024,Online-Ressource,,,,,,eng,XA-DE-HH,,,,,,lizenzfrei,Smart City ; Serviceorientierte Architektur ; Verteiltes System ; Verteilte Hash-Tabelle ; Citizen Science,,,,"25,O03"
